Station Name,Latitude,Longitude,Number of Bikes
"C/ MARINA, 25-33",41.3881248,2.1951871,14
"C/ MARIE CURIE, 8-14",41.4366871,2.1693134,8
"C/ SELVA DE MAR, 46",41.4091355,2.2088179,5
"AV. DIAGONAL, 652",41.389462,2.1314948,0
"C/ CÒRSEGA, 216",41.3917666,2.1532163,0
"C/ CARDENAL TEDESCHINI, 13",41.4253643,2.1852073,7
"RAMBLA DE L'ONZE DE SETEMBRE, 69",41.4299999,2.190246,8
"C/ DURAN I BAS, 2",41.3854094,2.1740155,7
"PG. TORRAS I BAGES, 129",41.4433647,2.1906302,14
"GRAN VIA DE LES CORTS CATALANES, 902",41.4075013,2.1930174,11
"C/ GÒNGORA, 23",41.4432762,2.1746238,1
"C/ GRAN DE LA SAGRERA, 74",41.4230551,2.1913753,10
"C/ SANT ISCLE, 60",41.433384,2.1716309,7
"C/ MALLORCA, 41-43",41.3834802,2.1482099,3
"C/ FULTON, 1",41.4297231,2.1617032,2
RECINTE PARC DE LA CIUTADELLA,41.3873901,2.1875446,4
"C/ SANT OLEGUER, 2",41.3775319,2.1707321,1
"RAMBLA DEL RAVAL, 20",41.3781065,2.1696744,18
PG. DE COLOM /VIA LAIETANA,41.380628,2.1822815,16
"AV. PARAL.LEL, 194",41.3751161,2.1523091,4
"C/ BILBAO, 174",41.4090202,2.1954152,21
"C/ D'ESCORNALBOU, 51",41.4180789,2.1763994,2
"C/ BAC DE RODA, 157",41.4113024,2.1987258,3
"C/ INDÚSTRIA, 329",41.4172922,2.1844769,6
"C/ GANDUXER, 29",41.3939378,2.1380304,0
"C/ DOCTOR AIGUADER, 2",41.382335,2.187093,12
"C/ MASSENS, 76",41.4092333,2.1557747,4
"C/ FELIU DE CASANOVA, 1",41.3754188,2.1297823,0
"C/ ARAGÓ, 629",41.410098,2.1884487,5
"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,2
"C/ LLACUNA, 86",41.4022657,2.1976297,23
"C/ PORTO, 35 | AV. ESTATUT DE CATALUNYA",41.4306102,2.1564551,4
AV. PARAL.LEL 164,41.3751866,2.1568773,8
"C/ ROSSELLÓ, 453",41.4060589,2.1740472,1
"PG. ZONA FRANCA, 54",41.3545425,2.1433038,4
"AV. JOSEP VICENÇ FOIX, 63",41.3977227,2.1194557,1
"PG. FABRA I PUIG, 385",41.4333259,2.1629258,4
"C/ FELIP II, 214",41.426925,2.1786224,0
"C/ CAMPO FLORIDO, 66",41.4216738,2.1799878,2
"C/ CONCEPCIÓ ARENAL, 176",41.4268952,2.1842572,3
"C/ GRANOLLERS, 1",41.4283127,2.1629889,2
"C/ CAVALLERS, 67",41.3934324,2.115107,0
C/ JOSEP SAMITIER / JOAN XXIII,41.3812111,2.1190863,4
"AV. DIAGONAL, 680",41.3875297,2.1237141,0
"C/ JOAN GÜELL, 98",41.3812001,2.1323612,0
"PL. ANTONIO LÓPEZ (CORREUS, VIA LAIETANA)",41.381316,2.181903,5
"RONDA SANT PAU, 79",41.3783467,2.1633139,20
"C/ NUMÀNCIA, 2",41.381219,2.141767,2
"PG. VALL D'HEBRÓN, 168",41.4280668,2.1443777,0
"C/ DE LES CORTS, 20",41.3854466,2.1288753,1
"C/ SANT ADRIÀ, 88",41.4354601,2.2001569,7
"C/ GRAN DE GRÀCIA, 91",41.4006862,2.1543317,1
"PG. FONT D´EN- FARGAS, 1",41.4275514,2.1659881,2
"C/ RAMON TURRÓ, 91",41.3953011,2.1965965,10
"C/ CANTÀBRIA, 55",41.4224015,2.198071,15
C/ ARAGÓN 147,41.3847528,2.1546746,4
"RAMBLA DE GUIPÚSCOA, 103 /CANTÀBRIA",41.4200135,2.2016699,5
"C/ DE CERVELLÓ, 5",41.3765618,2.1748621,5
"C/ MALATS, 28-30",41.4361251,2.1894423,21
"C/ PERIODISTES, 9",41.422037,2.174401,0
PLAÇA ALFONS X EL SAVI / RONDA DEL GUINARDO,41.4121345,2.1652216,2
"C/ CASANOVA, 55",41.3847738,2.1592566,2
"C/ CAVALLERS, 41",41.3906352,2.111541,0
"C/ PROVENÇA, 215",41.3927771,2.1586273,2
RAMBLA CATALUNYA/DIPUTACIO,41.3896967,2.1652199,1
PL. JESÚS CARRASCO,41.4450463,2.176726,2
"C/ ROGER, 24",41.3767538,2.1269152,1
"C/ CUBELLES, 2",41.426078,2.1751572,1
"C/ GELABERT, 1",41.3871579,2.1410945,1
"C/ SARDENYA, 362",41.4055143,2.1706498,0
"C/ DIPUTACIÓ, 373",41.3968391,2.1756598,0
"RAMBLA FABRA I PUIG, 67",41.4299201,2.1849813,4
"C/ VALLESPIR, 130",41.3821371,2.1354149,1
"C/ VILADOMAT, 122",41.3808772,2.1559939,3
"PG. SANTA COLOMA, 105",41.4479402,2.1976757,20
"C/ SARDENYA, 465",41.4090922,2.1656378,1
PG. DE COLOM (VIA LAIETANA),41.380628,2.1821917,18
PL. ANTONIO LÓPEZ ( VIA LAIETANA),41.381276,2.181845,18
"C/ NÀPOLS, 125",41.3957813,2.1787074,4
"C/ AMILCAR, 1",41.4300161,2.1720191,1
"C/ FERNANDO PESSOA, 41",41.4420913,2.1928992,13
"C/CONSELL DE CENT, 6",41.3755503,2.1439036,4
"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,0
C/ PINTOR RIBALTA / AV. XILE,41.3791986,2.1135824,2
"AV. DIAGONAL,  612",41.392567,2.1422174,0
"C/ ENRIC GRANADOS, 93",41.392135,2.1563542,0
"C/ ANDREU NIN, 22",41.4347233,2.1817718,16
"AV. RIO DE JANEIRO, 3",41.43068,2.1821802,1
"C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA",41.4364887,2.1841014,6
"C/ SANT RAMON DE PENYAFORT, 1",41.4134833,2.2206913,24
"AV. JOSEP TARRADELLAS, 133",41.3900085,2.1432105,0
"C / PROVENÇA, 241",41.3938861,2.1601641,1
"C/ RAMON ALBÓ, 1",41.4244527,2.1773157,1
"AV. JOAN XXIII, 17",41.383467,2.122175,0
"C/ D'ÀLABA, 157 | AV. MERIDIANA",41.401237,2.18742,3
"C/ COMTE URGELL, 23",41.380393,2.1606506,4
"AV. SARRIÀ, 163",41.3922355,2.1309272,1
"C/ VILLARROEL, 39",41.3821314,2.1606534,4
"C/ TEODOR LLORENTE, 1",41.419178,2.18018,6
PL. ICTÍNEO,41.3776292,2.1836886,20
"C/ ARGENTERA, 23",41.4117633,2.1453424,4
"C/ PABLO IGLESIAS, 21",41.443387,2.1813051,0
"PL. DEL NORD, 5",41.4068417,2.1558354,1
"C/ JOSEP PLA, 67",41.411381,2.2122054,16
"AV. RIO DE JANEIRO, 118",41.442489,2.185727,5
"GRAN VIA DE LES CORTS CATALANES, 592",41.3863747,2.1646697,5
"LA RAMBLA, 2 (MUSEO DE CERA)",41.377187,2.176757,22
"C/ CRISTOBAL DE MOURA, 84",41.410712,2.2061691,5
"C/ MEJÍA LEQUERICA, 2",41.3819739,2.1268625,2
"C/ VALLESPIR, 13",41.378118,2.1378667,4
"ESPAIS NATURALS-C/ TARRAGONA, 103-115",41.3763948,2.1473272,17
"C/ LLULL, 465",41.4132316,2.2177652,15
"C/ BILBAO, 2",41.4008312,2.206645,20
"C/ CASTILLEJOS, 388",41.412427,2.170592,1
"C/ 60, NÚMERO 25",41.3467746,2.1436235,15
"C/ ESTEVE TERRADAS, 42",41.4144967,2.1402433,4
"C/ PALAMÓS, 33",41.446923,2.184857,10
"AV. JOSEP TARRADELLAS, 27",41.3829333,2.1420704,3
"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,5
"C/ ALT DE GIRONELLA, 13",41.3949601,2.1302775,1
